STATE_OR_REGION,1980_POPULATION,1990_POPULATION,2000_POPULATION,2010_POPULATION
United States,226545805,248709873,281421906,308745538
Alabama,3893888,4040587,4447100,4779736
Alaska,401851,550043,626932,710231
Arizona,2718215,3665228,5130632,6392017
Arkansas,2286435,2350725,2673400,2915918
California,23667902,29760021,33871648,37253956
Colorado,2889964,3294394,4301261,5029196
Connecticut,3107576,3287116,3405565,3574097
Delaware,594338,666168,783600,897934
District of Columbia,638333,606900,572059,601723
Florida,9746324,12937926,15982378,18801310
Georgia,5463105,6478216,8186453,9687653
Hawaii,964691,1108229,1211537,1360301
Idaho,943935,1006749,1293953,1567582
Illinois,11426518,11430602,12419293,12830632
Indiana,5490224,5544159,6080485,6483802
Iowa,2913808,2776755,2926324,3046355
Kansas,2363679,2477574,2688418,2853118
Kentucky,3660777,3685296,4041769,4339367
Louisiana,4205900,4219973,4468976,4533372
Maine,1124660,1227928,1274923,1328361
Maryland,4216975,4781468,5296486,5773552
Massachusetts,5737037,6016425,6349097,6547629
Michigan,9262078,9295297,9938444,9883640
Minnesota,4075970,4375099,4919479,5303925
Mississippi,2520638,2573216,2844658,2967297
Missouri,4916686,5117073,5595211,5988927
Montana,786690,799065,902195,989415
Nebraska,1569825,1578385,1711263,1826341
Nevada,800493,1201833,1998257,2700551
New Hampshire,920610,1109252,1235786,1316470
New Jersey,7364823,7730188,8414350,8791894
New Mexico,1302894,1515069,1819046,2059179
New York,17558072,17990455,18976457,19378102
North Carolina,5881766,6628637,8049313,9535483
North Dakota,652717,638800,642200,672591
Ohio,10797630,10847115,11353140,11536504
Oklahoma,3025290,3145585,3450654,3751351
Oregon,2633105,2842321,3421399,3831074
Pennsylvania,11863895,11881643,12281054,12702379
Rhode Island,947154,1003464,1048319,1052567
South Carolina,3121820,3486703,4012012,4625364
South Dakota,690768,696004,754844,814180
Tennessee,4591120,4877185,5689283,6346105
Texas,14229191,16986510,20851820,25145561
Utah,1461037,1722850,2233169,2763885
Vermont,511456,562758,608827,625741
Virginia,5346818,6187358,7078515,8001024
Washington,4132156,4866692,5894121,6724540
West Virginia,1949644,1793477,1808344,1852994
Wisconsin,4705767,4891769,5363675,5686986
Wyoming,469557,453588,493782,563626
Puerto Rico,3196520,3522037,3808610,3725789
